
# metamind flat taxonomy

+ http://vital.ai/vital/metamind-app/ROOT  "MetaMind Taxonomy Root"

 

++ http://vital.ai/vital/metamind-app/0 "kit fox, Vulpes macrotis"

++ http://vital.ai/vital/metamind-app/1 "English setter"

++ http://vital.ai/vital/metamind-app/2 "Siberian husky"

++ http://vital.ai/vital/metamind-app/3 "Australian terrier"

++ http://vital.ai/vital/metamind-app/4 "English springer, English springer spaniel"

++ http://vital.ai/vital/metamind-app/5 "grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus"

++ http://vital.ai/vital/metamind-app/6 "lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens"

++ http://vital.ai/vital/metamind-app/7 "Egyptian cat"

++ http://vital.ai/vital/metamind-app/8 "ibex, Capra ibex"

++ http://vital.ai/vital/metamind-app/9 "Persian cat"

++ http://vital.ai/vital/metamind-app/10 "cougar, puma, catamount, mountain lion, painter, panther, Felis concolor"

++ http://vital.ai/vital/metamind-app/11 "gazelle"

++ http://vital.ai/vital/metamind-app/12 "porcupine, hedgehog"

++ http://vital.ai/vital/metamind-app/13 "sea lion"

++ http://vital.ai/vital/metamind-app/14 "malamute, malemute, Alaskan malamute"

++ http://vital.ai/vital/metamind-app/15 "badger"

++ http://vital.ai/vital/metamind-app/16 "Great Dane"

++ http://vital.ai/vital/metamind-app/17 "Walker hound, Walker foxhound"

++ http://vital.ai/vital/metamind-app/18 "Welsh springer spaniel"

++ http://vital.ai/vital/metamind-app/19 "whippet"

++ http://vital.ai/vital/metamind-app/20 "Scottish deerhound, deerhound"

++ http://vital.ai/vital/metamind-app/21 "killer whale, killer, orca, grampus, sea wolf, Orcinus orca"

++ http://vital.ai/vital/metamind-app/22 "mink"

++ http://vital.ai/vital/metamind-app/23 "African elephant, Loxodonta africana"

++ http://vital.ai/vital/metamind-app/24 "Weimaraner"

++ http://vital.ai/vital/metamind-app/25 "soft-coated wheaten terrier"

++ http://vital.ai/vital/metamind-app/26 "Dandie Dinmont, Dandie Dinmont terrier"

++ http://vital.ai/vital/metamind-app/27 "red wolf, maned wolf, Canis rufus, Canis niger"

++ http://vital.ai/vital/metamind-app/28 "Old English sheepdog, bobtail"

++ http://vital.ai/vital/metamind-app/29 "jaguar, panther, Panthera onca, Felis onca"

++ http://vital.ai/vital/metamind-app/30 "otterhound, otter hound"

++ http://vital.ai/vital/metamind-app/31 "bloodhound, sleuthhound"

++ http://vital.ai/vital/metamind-app/32 "Airedale, Airedale terrier"

++ http://vital.ai/vital/metamind-app/33 "hyena, hyaena"

++ http://vital.ai/vital/metamind-app/34 "meerkat, mierkat"

++ http://vital.ai/vital/metamind-app/35 "giant schnauzer"

++ http://vital.ai/vital/metamind-app/36 "titi, titi monkey"

++ http://vital.ai/vital/metamind-app/37 "three-toed sloth, ai, Bradypus tridactylus"

++ http://vital.ai/vital/metamind-app/38 "sorrel"

++ http://vital.ai/vital/metamind-app/39 "black-footed ferret, ferret, Mustela nigripes"

++ http://vital.ai/vital/metamind-app/40 "dalmatian, coach dog, carriage dog"

++ http://vital.ai/vital/metamind-app/41 "black-and-tan coonhound"

++ http://vital.ai/vital/metamind-app/42 "papillon"

++ http://vital.ai/vital/metamind-app/43 "skunk, polecat, wood pussy"

++ http://vital.ai/vital/metamind-app/44 "Staffordshire bullterrier, Staffordshire bull terrier"

++ http://vital.ai/vital/metamind-app/45 "Mexican hairless"

++ http://vital.ai/vital/metamind-app/46 "Bouvier des Flandres, Bouviers des Flandres"

++ http://vital.ai/vital/metamind-app/47 "weasel"

++ http://vital.ai/vital/metamind-app/48 "miniature poodle"

++ http://vital.ai/vital/metamind-app/49 "Cardigan, Cardigan Welsh corgi"

++ http://vital.ai/vital/metamind-app/50 "malinois"

++ http://vital.ai/vital/metamind-app/51 "bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis"

++ http://vital.ai/vital/metamind-app/52 "fox squirrel, eastern fox squirrel, Sciurus niger"

++ http://vital.ai/vital/metamind-app/53 "colobus, colobus monkey"

++ http://vital.ai/vital/metamind-app/54 "tiger cat"

++ http://vital.ai/vital/metamind-app/55 "Lhasa, Lhasa apso"

++ http://vital.ai/vital/metamind-app/56 "impala, Aepyceros melampus"

++ http://vital.ai/vital/metamind-app/57 "coyote, prairie wolf, brush wolf, Canis latrans"

++ http://vital.ai/vital/metamind-app/58 "Yorkshire terrier"

++ http://vital.ai/vital/metamind-app/59 "Newfoundland, Newfoundland dog"

++ http://vital.ai/vital/metamind-app/60 "brown bear, bruin, Ursus arctos"

++ http://vital.ai/vital/metamind-app/61 "red fox, Vulpes vulpes"

++ http://vital.ai/vital/metamind-app/62 "Norwegian elkhound, elkhound"

++ http://vital.ai/vital/metamind-app/63 "Rottweiler"

++ http://vital.ai/vital/metamind-app/64 "hartebeest"

++ http://vital.ai/vital/metamind-app/65 "Saluki, gazelle hound"

++ http://vital.ai/vital/metamind-app/66 "grey fox, gray fox, Urocyon cinereoargenteus"

++ http://vital.ai/vital/metamind-app/67 "schipperke"

++ http://vital.ai/vital/metamind-app/68 "Pekinese, Pekingese, Peke"

++ http://vital.ai/vital/metamind-app/69 "Brabancon griffon"

++ http://vital.ai/vital/metamind-app/70 "West Highland white terrier"

++ http://vital.ai/vital/metamind-app/71 "Sealyham terrier, Sealyham"

++ http://vital.ai/vital/metamind-app/72 "guenon, guenon monkey"

++ http://vital.ai/vital/metamind-app/73 "mongoose"

++ http://vital.ai/vital/metamind-app/74 "indri, indris, Indri indri, Indri brevicaudatus"

++ http://vital.ai/vital/metamind-app/75 "tiger, Panthera tigris"

++ http://vital.ai/vital/metamind-app/76 "Irish wolfhound"

++ http://vital.ai/vital/metamind-app/77 "wild boar, boar, Sus scrofa"

++ http://vital.ai/vital/metamind-app/78 "EntleBucher"

++ http://vital.ai/vital/metamind-app/79 "zebra"

++ http://vital.ai/vital/metamind-app/80 "ram, tup"

++ http://vital.ai/vital/metamind-app/81 "French bulldog"

++ http://vital.ai/vital/metamind-app/82 "orangutan, orang, orangutang, Pongo pygmaeus"

++ http://vital.ai/vital/metamind-app/83 "basenji"

++ http://vital.ai/vital/metamind-app/84 "leopard, Panthera pardus"

++ http://vital.ai/vital/metamind-app/85 "Bernese mountain dog"

++ http://vital.ai/vital/metamind-app/86 "Maltese dog, Maltese terrier, Maltese"

++ http://vital.ai/vital/metamind-app/87 "Norfolk terrier"

++ http://vital.ai/vital/metamind-app/88 "toy terrier"

++ http://vital.ai/vital/metamind-app/89 "vizsla, Hungarian pointer"

++ http://vital.ai/vital/metamind-app/90 "cairn, cairn terrier"

++ http://vital.ai/vital/metamind-app/91 "squirrel monkey, Saimiri sciureus"

++ http://vital.ai/vital/metamind-app/92 "groenendael"

++ http://vital.ai/vital/metamind-app/93 "clumber, clumber spaniel"

++ http://vital.ai/vital/metamind-app/94 "Siamese cat, Siamese"

++ http://vital.ai/vital/metamind-app/95 "chimpanzee, chimp, Pan troglodytes"

++ http://vital.ai/vital/metamind-app/96 "komondor"

++ http://vital.ai/vital/metamind-app/97 "Afghan hound, Afghan"

++ http://vital.ai/vital/metamind-app/98 "Japanese spaniel"

++ http://vital.ai/vital/metamind-app/99 "proboscis monkey, Nasalis larvatus"

++ http://vital.ai/vital/metamind-app/100 "guinea pig, Cavia cobaya"

++ http://vital.ai/vital/metamind-app/101 "white wolf, Arctic wolf, Canis lupus tundrarum"

++ http://vital.ai/vital/metamind-app/102 "ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus"

++ http://vital.ai/vital/metamind-app/103 "gorilla, Gorilla gorilla"

++ http://vital.ai/vital/metamind-app/104 "borzoi, Russian wolfhound"

++ http://vital.ai/vital/metamind-app/105 "toy poodle"

++ http://vital.ai/vital/metamind-app/106 "Kerry blue terrier"

++ http://vital.ai/vital/metamind-app/107 "ox"

++ http://vital.ai/vital/metamind-app/108 "Scotch terrier, Scottish terrier, Scottie"

++ http://vital.ai/vital/metamind-app/109 "Tibetan mastiff"

++ http://vital.ai/vital/metamind-app/110 "spider monkey, Ateles geoffroyi"

++ http://vital.ai/vital/metamind-app/111 "Doberman, Doberman pinscher"

++ http://vital.ai/vital/metamind-app/112 "Boston bull, Boston terrier"

++ http://vital.ai/vital/metamind-app/113 "Greater Swiss Mountain dog"

++ http://vital.ai/vital/metamind-app/114 "Appenzeller"

++ http://vital.ai/vital/metamind-app/115 "Shih-Tzu"

++ http://vital.ai/vital/metamind-app/116 "Irish water spaniel"

++ http://vital.ai/vital/metamind-app/117 "Pomeranian"

++ http://vital.ai/vital/metamind-app/118 "Bedlington terrier"

++ http://vital.ai/vital/metamind-app/119 "warthog"

++ http://vital.ai/vital/metamind-app/120 "Arabian camel, dromedary, Camelus dromedarius"

++ http://vital.ai/vital/metamind-app/121 "siamang, Hylobates syndactylus, Symphalangus syndactylus"

++ http://vital.ai/vital/metamind-app/122 "miniature schnauzer"

++ http://vital.ai/vital/metamind-app/123 "collie"

++ http://vital.ai/vital/metamind-app/124 "golden retriever"

++ http://vital.ai/vital/metamind-app/125 "Irish terrier"

++ http://vital.ai/vital/metamind-app/126 "affenpinscher, monkey pinscher, monkey dog"

++ http://vital.ai/vital/metamind-app/127 "Border collie"

++ http://vital.ai/vital/metamind-app/128 "hare"

++ http://vital.ai/vital/metamind-app/129 "boxer"

++ http://vital.ai/vital/metamind-app/130 "silky terrier, Sydney silky"

++ http://vital.ai/vital/metamind-app/131 "beagle"

++ http://vital.ai/vital/metamind-app/132 "Leonberg"

++ http://vital.ai/vital/metamind-app/133 "German short-haired pointer"

++ http://vital.ai/vital/metamind-app/134 "patas, hussar monkey, Erythrocebus patas"

++ http://vital.ai/vital/metamind-app/135 "dhole, Cuon alpinus"

++ http://vital.ai/vital/metamind-app/136 "baboon"

++ http://vital.ai/vital/metamind-app/137 "macaque"

++ http://vital.ai/vital/metamind-app/138 "Chesapeake Bay retriever"

++ http://vital.ai/vital/metamind-app/139 "bull mastiff"

++ http://vital.ai/vital/metamind-app/140 "kuvasz"

++ http://vital.ai/vital/metamind-app/141 "capuchin, ringtail, Cebus capucinus"

++ http://vital.ai/vital/metamind-app/142 "pug, pug-dog"

++ http://vital.ai/vital/metamind-app/143 "curly-coated retriever"

++ http://vital.ai/vital/metamind-app/144 "Norwich terrier"

++ http://vital.ai/vital/metamind-app/145 "flat-coated retriever"

++ http://vital.ai/vital/metamind-app/146 "hog, pig, grunter, squealer, Sus scrofa"

++ http://vital.ai/vital/metamind-app/147 "keeshond"

++ http://vital.ai/vital/metamind-app/148 "Eskimo dog, husky"

++ http://vital.ai/vital/metamind-app/149 "Brittany spaniel"

++ http://vital.ai/vital/metamind-app/150 "standard poodle"

++ http://vital.ai/vital/metamind-app/151 "Lakeland terrier"

++ http://vital.ai/vital/metamind-app/152 "snow leopard, ounce, Panthera uncia"

++ http://vital.ai/vital/metamind-app/153 "Gordon setter"

++ http://vital.ai/vital/metamind-app/154 "dingo, warrigal, warragal, Canis dingo"

++ http://vital.ai/vital/metamind-app/155 "standard schnauzer"

++ http://vital.ai/vital/metamind-app/156 "hamster"

